Ticket_ID,Customer_ID,Account_ID,Loan_ID,Branch_Name,Issue_Category,Description,Date_Opened,Date_Closed,Priority,Status,Resolution_Remarks,Support_Agent,Channel,Customer_Rating
TKT00001,CUST00387,CUST00428,181,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 1,2025-09-28,2025-10-09,Critical,Closed,Resolution remarks for ticket 1,Agent 7,Phone,5
TKT00002,CUST00132,CUST00265,,Chennai Main Branch,Card Not Working,Issue description for ticket 2,2025-05-28,2025-06-25,Medium,Closed,Resolution remarks for ticket 2,Agent 19,Phone,2
TKT00003,CUST00153,CUST00359,130,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 3,2025-05-14,,Medium,In Progress,,Agent 2,In-person,
TKT00004,CUST00387,CUST00423,,Mumbai Main Branch,Online Banking Issue,Issue description for ticket 4,2025-08-17,2025-08-28,High,Closed,Resolution remarks for ticket 4,Agent 6,Chat,1
TKT00005,CUST00487,CUST00450,,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 5,2025-08-27,2025-09-05,Critical,Resolved,Resolution remarks for ticket 5,Agent 11,Chat,1
TKT00006,CUST00254,CUST00065,185,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 6,2025-03-29,2025-04-08,Critical,Resolved,Resolution remarks for ticket 6,Agent 13,Email,5
TKT00007,CUST00286,CUST00148,,Kolkata Main Branch,Card Not Working,Issue description for ticket 7,2025-01-16,2025-02-08,Critical,Resolved,Resolution remarks for ticket 7,Agent 8,Email,3
TKT00008,CUST00455,CUST00344,,Kolkata Main Branch,Loan Payment Delay,Issue description for ticket 8,2025-03-22,2025-04-17,Critical,Closed,Resolution remarks for ticket 8,Agent 4,Chat,4
TKT00009,CUST00162,CUST00407,182,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 9,2025-02-02,2025-02-07,Critical,Closed,Resolution remarks for ticket 9,Agent 17,Email,5
TKT00010,CUST00158,CUST00307,,Chennai Main Branch,Account Balance Mismatch,Issue description for ticket 10,2024-11-27,2024-12-01,High,Closed,Resolution remarks for ticket 10,Agent 11,Chat,1
TKT00011,CUST00234,CUST00223,10,Bangalore Main Branch,Card Not Working,Issue description for ticket 11,2025-02-23,2025-03-15,Medium,Resolved,Resolution remarks for ticket 11,Agent 16,Email,3
TKT00012,CUST00160,CUST00263,47,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 12,2025-01-27,2025-02-08,Critical,Closed,Resolution remarks for ticket 12,Agent 8,Phone,2
TKT00013,CUST00171,CUST00125,205,Pune Main Branch,ATM Card Blocked,Issue description for ticket 13,2025-08-09,,Low,In Progress,,Agent 13,In-person,
